State,City/Town,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,How often the home health team began their patients care in a timely manner,How often the home health team determined whether patients received a flu shot for the current flu season,How often patients got better at walking or moving around,How often patients got better at getting in and out of bed,How often patients got better at bathing,How often patients breathing improved,How often patients got better at taking their drugs correctly by mouth,How often home health patients had to be admitted to the hospital,How often patients receiving home health care needed urgent unplanned care in the ER without being admitted,Changes in skin integrity post-acute care: pressure ulcer/injury,How often physician-recommended actions to address medication issues were completely timely,Percent of Residents Experiencing One or More Falls with Major Injury,Application of Percent of Long Term Care Hospital Patients with an Admission and Discharge Functional Assessment and a Care Plan that Addresses Function,DTC Numerator,DTC Denominator,DTC Observed Rate,DTC Risk-Standardized Rate,DTC Risk-Standardized Rate (Lower Limit),DTC Risk-Standardized Rate (Upper Limit),PPR Numerator,PPR Denominator,PPR Observed Rate,PPR Risk-Standardized Rate,PPR Risk-Standardized Rate (Lower Limit),PPR Risk-Standardized Rate (Upper Limit),PPH Numerator,PPH Denominator,PPH Observed Rate,PPH Risk-Standardized Rate,PPH Risk-Standardized Rate (Lower Limit),PPH Risk-Standardized Rate (Upper Limit),How much Medicare spends on an episode of care at this agency compared to Medicare spending across all agencies nationally,No. of episodes to calc how much Medicare spends per episode of care at agency compared to spending at all agencies (national),Type of Ownership_GOVERNMENT - COMBINATION GOVT & VOLUNTARY,Type of Ownership_GOVERNMENT - LOCAL,Type of Ownership_GOVERNMENT - STATE/COUNTY,Type of Ownership_PROPRIETARY,Type of Ownership_VOLUNTARY NON PROFIT - RELIGIOUS AFFILIATION,Type of Ownership_VOLUNTARY NON-PROFIT - OTHER,Type of Ownership_VOLUNTARY NON-PROFIT - PRIVATE,PPH Performance Categorization_Better Than National Rate,PPH Performance Categorization_Not Available,PPH Performance Categorization_Same As National Rate,PPH Performance Categorization_Worse Than National Rate,Quality of patient care star rating,Predicted Values
0.3518518518518518,0.4648910411622276,1.0,1.0,1.0,1.0,1.0,1.0,0.995085995085995,0.972,1.0,0.909,1.0,0.936,1.0,0.4193548387096774,0.4277456647398844,0.0,0.996,0.0974025974025974,1.0,0.0025618503879373,0.0043365134431916,0.4795,0.5239852398523985,0.4563157894736842,0.5644972720187061,0.0026143790849673,0.00252430313121,0.1306800376057662,0.2225913621262458,0.1341911764705882,0.3430232558139535,0.0163265306122449,0.0059699534212425,0.6087260849276714,0.5640478223740392,0.5195911413969336,0.599349593495935,0.3277777777777778,0.0236146323795726,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0
0.1111111111111111,0.2005649717514124,1.0,1.0,1.0,1.0,1.0,1.0,0.8857493857493857,0.76,0.684,0.685,0.695,0.861,0.609,0.2768817204301075,0.3121387283236994,0.0909090909090909,0.843,0.0519480519480519,0.972,0.012955643390426,0.0153721924813828,0.6873999999999999,0.7345223452234523,0.7133684210526317,0.7261301636788776,0.0117647058823529,0.0080025780117084,0.1880288310874334,0.2508305647840531,0.1875,0.3357558139534883,0.0224489795918367,0.0146296660762317,0.3436770881941204,0.4637062339880443,0.4582623509369676,0.486829268292683,0.3666666666666667,0.0237112157430882,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
0.4629629629629629,0.5819209039548022,1.0,1.0,1.0,1.0,0.0,1.0,0.9656019656019654,0.619,0.6,0.9,0.755,0.356,0.6759999999999999,0.4462365591397849,0.4335260115606936,0.0,0.986,0.0584415584415584,0.991,0.0061850387937344,0.007117863444687,0.7071,0.724169741697417,0.6906315789473684,0.7379189399844116,0.0039215686274509,0.0060153606530962,0.0830460670636164,0.1843853820598006,0.1066176470588235,0.2718023255813953,0.0129251700680272,0.0101029980974873,0.2860475968268782,0.3556789069171648,0.3140261215218625,0.4048780487804878,0.3444444444444444,0.0108897742363877,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0
0.9629629629629628,0.9697336561743342,1.0,1.0,1.0,1.0,1.0,1.0,0.9434889434889436,0.723,0.7509999999999999,0.8220000000000001,0.75,0.76,0.7140000000000001,0.3387096774193548,0.4421965317919075,0.0279720279720279,1.0,0.0519480519480519,1.0,0.0045747328356024,0.0044860483895086,0.8278,0.9004715047150472,0.8583157894736843,0.9053975058456742,0.0052287581699346,0.0046189376443418,0.1441554371670322,0.2043189368770763,0.1341911764705882,0.318313953488372,0.0054421768707482,0.0053139145837433,0.2277181521231918,0.2374039282664389,0.1913685406019307,0.2946341463414634,0.3444444444444444,0.0045877097669926,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0
0.074074074074074,0.0617433414043583,1.0,1.0,1.0,1.0,1.0,1.0,0.8550368550368549,0.962,0.3879999999999999,0.357,0.309,0.691,0.568,0.553763440860215,0.2398843930635838,0.0,0.765,0.0,1.0,0.0007685551163812,0.0007775817208481,0.7778,0.7734727347273473,0.6277894736842106,0.8415822291504288,0.0189670287783495,0.0,0.1236096052738378,0.2163263677963107,0.1543755044899606,0.30425650205433,0.0245044009517929,0.0011152660237486,0.2390908081382333,0.2990643106925664,0.2642016052847556,0.3433343420845333,0.1833333333333333,0.0028733550645901,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.1666666666666666,0.2413236481033091,1.0,1.0,1.0,1.0,1.0,1.0,0.9692874692874692,0.914,0.932,0.947,1.0,1.0,1.0,0.4354838709677419,0.26878612716763,0.0,1.0,0.0714285714285714,0.995,0.020641194554238,0.0190208451715165,0.8854000000000001,0.8494259942599426,0.8543157894736844,0.8201480904130943,0.0013071895424836,0.0059079434985767,0.028204324663115,0.1644518272425249,0.0955882352941176,0.3095930232558139,0.0156462585034013,0.0219773010562225,0.1598226784881007,0.3236549957301451,0.2964224872231687,0.3717073170731707,0.2888888888888888,0.0223349028129904,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0
0.8518518518518519,0.576271186440678,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.022,0.715,0.586,0.625,0.7090000000000001,0.58,0.325268817204301,0.4768786127167629,0.0,0.358,0.0,1.0,0.001207729468599,0.0020336752699105,0.4783,0.5067650676506765,0.4113684210526315,0.5850545596258768,0.0189670287783495,0.0005370857725978,0.1236096052738378,0.2163263677963107,0.1543755044899606,0.30425650205433,0.0034013605442176,0.0021649281637472,0.3432104526364909,0.3872758326216908,0.2532651902328223,0.5437398373983741,0.2222222222222221,0.0077749607630085,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0
0.037037037037037,0.0500403551251008,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.701,0.654,0.6970000000000001,0.6890000000000001,0.485,0.687,0.336021505376344,0.4971098265895953,0.0489510489510489,0.989,0.0584415584415584,0.972,0.0075391597130727,0.0094207016179681,0.6518999999999999,0.6888068880688807,0.6543157894736843,0.6991426344505066,0.0013071895424836,0.0061227778076158,0.0272641805076778,0.1378737541528239,0.0919117647058823,0.2369186046511627,0.0272108843537414,0.0112838680049858,0.539430704619692,0.7023911187019642,0.7348097671777399,0.6891056910569107,0.3611111111111111,0.0342629482071713,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
0.3703703703703703,0.3966908797417272,1.0,1.0,1.0,1.0,1.0,1.0,0.9213759213759212,0.7040000000000001,0.862,0.908,0.887,0.862,0.929,0.3735840377206601,0.338015366917101,0.0,0.974,0.0,0.974,0.0014273166447079,0.0020336752699105,0.5652,0.6408364083640837,0.5232631578947369,0.7243764614185504,0.0026143790849673,0.0018260916268328,0.1789407709182074,0.2292358803986711,0.1397058823529411,0.3604651162790697,0.0040816326530612,0.0021649281637472,0.4118058796080261,0.3437233134073441,0.2436115843270869,0.4289430894308944,0.3888888888888888,0.0038633345406253,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0
0.8518518518518519,0.8498789346246973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.991,0.955,0.982,0.936,0.934,0.379032258064516,0.361271676300578,0.0489510489510489,1.0,0.0,0.941,0.002415458937198,0.0043963274217184,0.4459,0.4809348093480936,0.4096842105263157,0.5203624318004676,0.0039215686274509,0.0027391374402492,0.1808210592290818,0.2259136212624584,0.145220588235294,0.3662790697674417,0.0054421768707482,0.0037394213737453,0.3217452169855342,0.3240819812126387,0.2515616127200454,0.4,0.2888888888888888,0.0103827115779307,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,4.0
