State,City/Town,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Quality of patient care star rating,How often the home health team began their patients care in a timely manner,How often the home health team determined whether patients received a flu shot for the current flu season,How often patients got better at walking or moving around,How often patients got better at getting in and out of bed,How often patients got better at bathing,How often patients breathing improved,How often patients got better at taking their drugs correctly by mouth,How often home health patients had to be admitted to the hospital,How often patients receiving home health care needed urgent unplanned care in the ER without being admitted,Changes in skin integrity post-acute care: pressure ulcer/injury,How often physician-recommended actions to address medication issues were completely timely,Percent of Residents Experiencing One or More Falls with Major Injury,Application of Percent of Long Term Care Hospital Patients with an Admission and Discharge Functional Assessment and a Care Plan that Addresses Function,DTC Numerator,DTC Denominator,DTC Observed Rate,DTC Risk-Standardized Rate,DTC Risk-Standardized Rate (Lower Limit),DTC Risk-Standardized Rate (Upper Limit),PPR Numerator,PPR Denominator,PPR Observed Rate,PPR Risk-Standardized Rate,PPR Risk-Standardized Rate (Lower Limit),PPR Risk-Standardized Rate (Upper Limit),PPH Numerator,PPH Denominator,PPH Observed Rate,PPH Risk-Standardized Rate,PPH Risk-Standardized Rate (Lower Limit),PPH Risk-Standardized Rate (Upper Limit),How much Medicare spends on an episode of care at this agency compared to Medicare spending across all agencies nationally,No. of episodes to calc how much Medicare spends per episode of care at agency compared to spending at all agencies (national),Type of Ownership_GOVERNMENT - COMBINATION GOVT & VOLUNTARY,Type of Ownership_GOVERNMENT - LOCAL,Type of Ownership_GOVERNMENT - STATE/COUNTY,Type of Ownership_PROPRIETARY,Type of Ownership_VOLUNTARY NON PROFIT - RELIGIOUS AFFILIATION,Type of Ownership_VOLUNTARY NON-PROFIT - OTHER,Type of Ownership_VOLUNTARY NON-PROFIT - PRIVATE,PPH Performance Categorization_Better Than National Rate,PPH Performance Categorization_Not Available,PPH Performance Categorization_Same As National Rate,PPH Performance Categorization_Worse Than National Rate,Predicted Values
0.3551251008878127,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.9963144963144962,0.64,0.813,0.813,0.804,0.8240000000000001,0.7240000000000001,0.4005376344086021,0.3641618497109826,0.0139860139860139,0.8759999999999999,0.0194805194805194,0.999,0.0628751280925194,0.0608906301402637,0.8434,0.8870438704387044,0.9001052631578947,0.8516173031956353,0.1019607843137254,0.0612814866534185,0.2140394860545283,0.5182724252491694,0.5091911764705883,0.5145348837209301,0.0353741496598639,0.0640293905399199,0.1241250583294447,0.1114432109308283,0.1124361158432709,0.1086178861788617,0.2833333333333332,0.0577568513823493,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0
0.1900726392251816,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.993857493857494,0.8029999999999999,0.858,0.971,0.931,0.925,0.8390000000000001,0.3844086021505376,0.2803468208092485,0.0559440559440559,1.0,0.0194805194805194,0.998,0.0034036012296881,0.0047552112928791,0.5813,0.6070110701107012,0.5542105263157895,0.6433164458300857,0.0026143790849673,0.0025780117084698,0.1278596051394547,0.2225913621262458,0.119485294117647,0.383720930232558,0.0081632653061224,0.007150823328741,0.2545496966868875,0.338599487617421,0.2918796138557638,0.4266666666666667,0.3277777777777778,0.0072678981045514,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.2796610169491525,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.85,0.915,0.894,0.91,0.905,0.878,0.4247311827956989,0.2774566473988439,0.0209790209790209,0.999,0.0454545454545454,1.0,0.0152613087395696,0.0153721924813828,0.8097,0.8867363673636737,0.8751578947368421,0.8683749025720967,0.0183006535947712,0.0132660185831677,0.1770604826073331,0.2890365448504982,0.2297794117647059,0.3851744186046512,0.0231292517006802,0.0204028078462244,0.2543163789080728,0.28266438941076,0.2754116978989211,0.2878048780487805,0.3444444444444444,0.0183749849088494,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0
0.4717514124293785,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.885,0.924,0.903,0.925,0.916,0.895,0.3978494623655914,0.3641618497109826,0.0,0.998,0.0324675324675324,0.999,0.0419777484994876,0.0446810419595059,0.7672,0.8447109471094711,0.8509473684210527,0.8170303975058457,0.0392156862745098,0.045168913475482,0.1115637731118771,0.1694352159468438,0.1636029411764705,0.1744186046511628,0.0605442176870748,0.0517614642786853,0.2629491367242184,0.2690008539709649,0.3100511073253833,0.2426016260162601,0.3166666666666666,0.0547869129542436,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0
0.5266343825665859,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.8353808353808353,0.884,0.924,0.887,0.971,0.956,0.924,0.3198924731182795,0.4190751445086705,0.0139860139860139,0.985,0.0909090909090909,0.995,0.0110525545308154,0.0132787032329455,0.6787000000000001,0.7714227142271423,0.751684210526316,0.7695830085736556,0.0039215686274509,0.0078951608571888,0.0636164211845816,0.1561461794019933,0.0772058823529412,0.2674418604651162,0.0231292517006802,0.0164665748212294,0.3147456836210919,0.338599487617421,0.3316297558205565,0.3388617886178862,0.3055555555555555,0.017433297114572,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0
0.4168684422921711,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.984029484029484,0.846,0.768,0.856,0.8009999999999999,0.841,0.596,0.3709677419354839,0.1473988439306358,0.0349650349650349,0.981,0.0,0.968,0.0076123554384423,0.0084038639830128,0.7376,0.810680606806068,0.7777894736842106,0.815763834762276,0.0183006535947712,0.0061227778076158,0.3813851457223441,0.4468438538205979,0.3547794117647058,0.5813953488372092,0.0074829931972789,0.0091189398412386,0.1833877741483901,0.2305721605465414,0.1635434412265758,0.2855284552845529,0.3777777777777778,0.0073644814680671,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0
0.6711057304277643,1.0,1.0,1.0,0.0,0.0,1.0,0.875,1.0,0.7,1.0,0.8440000000000001,1.0,0.8759999999999999,0.8,0.2688172043010752,0.2976878612716763,0.0,0.969,0.0,1.0,0.0032572097789489,0.0028411639800221,0.9271,0.8763837638376385,0.844842105263158,0.8608729540140296,0.0,0.0017186744723132,0.0,0.1893687707641196,0.1011029411764705,0.3081395348837209,0.0,0.0034114019549957,0.0,0.1844577284372331,0.0806360022714367,0.3073170731707317,0.2666666666666666,0.0026560424966799,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0
0.2861178369652946,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.9877149877149876,0.763,0.946,0.758,0.8540000000000001,0.903,0.8740000000000001,0.3735840377206601,0.338015366917101,0.0,0.93,0.0,1.0,0.0017932952715561,0.00176451236654,0.8167,0.8217507175071751,0.7387368421052632,0.8537607170693687,0.0026143790849673,0.0019872173586121,0.1648386085866499,0.2375415282392026,0.1544117647058823,0.3691860465116279,0.0,0.0012464737912484,0.0,0.2143467122117847,0.1158432708688245,0.3385365853658537,0.35,0.0019316672703126,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0
0.0036319612590799,1.0,1.0,1.0,1.0,1.0,1.0,0.375,0.9668304668304666,0.6809999999999999,0.727,0.7909999999999999,0.815,0.722,0.568,0.3735840377206601,0.338015366917101,0.0,0.877,0.3571428571428571,0.863,0.0185795394332277,0.0005084188174776,0.7300889780631354,0.7644373982530622,0.7284183774041847,0.7717639939622851,0.0189670287783495,0.000751920081637,0.1236096052738378,0.2163263677963107,0.1543755044899606,0.30425650205433,0.0245044009517929,0.0003280194187495,0.2390908081382333,0.2990643106925664,0.2642016052847556,0.3433343420845333,0.3999999999999999,0.0010141253169141,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0
0.1811945117029862,1.0,1.0,1.0,1.0,0.0,1.0,0.25,0.9582309582309582,0.273,0.7905811921220817,0.8017300261096605,0.6409999999999999,0.3929999999999999,0.606,0.4435483870967741,0.1907514450867052,0.0,0.983,0.2207792207792207,0.983,0.0014639145073927,0.0017346053772766,0.6779999999999999,0.7309348093480934,0.634,0.7840023382696805,0.0039215686274509,0.0018798002040925,0.2610466938263867,0.2558139534883721,0.145220588235294,0.3909883720930231,0.0027210884353741,0.0013120776749983,0.4444703686420905,0.3646456020495302,0.2487223168654173,0.4858536585365854,0.3999999999999999,0.0028009175419533,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.6711057304277643,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.856265356265356,0.718,0.368,0.482,0.379,0.236,0.45,0.4811827956989246,0.6416184971098265,0.2587412587412587,0.835,0.1883116883116883,0.0,0.0020494803103498,0.0025420940873882,0.6512,0.6706642066420664,0.5822105263157894,0.7191153546375683,0.0189670287783495,0.0009667543906761,0.1236096052738378,0.2163263677963107,0.1543755044899606,0.30425650205433,0.0040816326530612,0.0035426097224955,0.2545496966868875,0.3223740392826643,0.2265758091993185,0.43869918699187,0.3999999999999999,0.0088615236025594,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0
0.5080710250201775,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.914004914004914,0.6559999999999999,0.752,0.777,0.7440000000000001,0.774,0.731,0.4435483870967741,0.3352601156069364,0.0279720279720279,0.983,0.0779220779220779,0.977,0.0453813497291758,0.0486287645422735,0.7620999999999999,0.8223657236572366,0.8286315789473684,0.7948168355416991,0.0549019607843137,0.0556957946184005,0.1269194609840175,0.2558139534883721,0.2352941176470588,0.2834302325581395,0.0598639455782312,0.0556976973036803,0.2414839010732618,0.2741246797608881,0.3026689381033504,0.2445528455284553,0.3555555555555555,0.0424483882651213,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0
0.0060532687651331,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.9729729729729728,0.627,0.892,0.919,0.898,0.879,0.918,0.4086021505376344,0.3728323699421965,0.0,0.977,0.0909090909090909,0.989,0.0643756404625969,0.0681281215420043,0.7718,0.8035055350553506,0.8151578947368422,0.7737724084177708,0.0379084967320261,0.0513453998603577,0.0949545596991538,0.1594684385382059,0.1470588235294117,0.1729651162790696,0.1142857142857142,0.0852850488748934,0.3012132524498367,0.3941076003415883,0.4787052810902896,0.330081300813008,0.3333333333333333,0.1197875166002656,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
0.036319612590799,1.0,1.0,1.0,1.0,1.0,1.0,0.375,0.9312039312039312,0.742,0.738,0.784,0.7909999999999999,0.887,0.701,0.3735840377206601,0.338015366917101,0.0489510489510489,0.989,0.0974025974025974,0.996,0.000805152979066,0.0007476747315847,0.8462000000000001,0.8579335793357934,0.7074736842105264,0.9118277474668746,0.0189670287783495,0.0006445029271174,0.1236096052738378,0.2163263677963107,0.1543755044899606,0.30425650205433,0.0245044009517929,0.0003936233024995,0.2390908081382333,0.2990643106925664,0.2642016052847556,0.3433343420845333,0.2888888888888888,0.0006277918628516,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0
0.5104923325262308,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.8304668304668303,0.58,0.831,0.7659999999999999,0.754,0.584,0.858,0.0483870967741935,0.2630057803468207,0.2167832167832167,0.897,0.2337662337662337,1.0,0.0006221636656419,0.0028411639800221,0.1771,0.1964944649446494,0.1331578947368421,0.257501948558067,0.0189670287783495,5.370857725978839e-05,0.1236096052738378,0.2163263677963107,0.1543755044899606,0.30425650205433,0.0020408163265306,0.0034770058387456,0.1297246850209986,0.222459436379163,0.1465076660988075,0.3365853658536585,0.3388888888888889,0.0056018350839067,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0
0.9987893462469734,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.9410319410319408,0.6409999999999999,0.6759999999999999,0.741,0.698,0.6579999999999999,0.7090000000000001,0.3521505376344085,0.4624277456647399,0.0,0.963,0.0714285714285714,0.989,0.0108695652173913,0.0130394473188384,0.6796,0.7043870438704388,0.6873684210526317,0.7021628994544038,0.0065359477124183,0.0080562865889682,0.103729238483234,0.2009966777408637,0.119485294117647,0.3212209302325581,0.0163265306122449,0.0166633864724791,0.2195520298646757,0.2959009393680614,0.3015332197614991,0.336260162601626,0.3055555555555555,0.0186164433176385,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,4.0
0.2796610169491525,1.0,1.0,1.0,1.0,1.0,1.0,0.375,0.993857493857494,0.843,0.7609999999999999,0.7859999999999999,0.7859999999999999,0.7509999999999999,0.6920000000000001,0.629032258064516,0.453757225433526,0.0349650349650349,0.995,0.0324675324675324,0.941,0.0026716439759918,0.0028710709692855,0.7526,0.7853628536285363,0.7245263157894737,0.8107950116913484,0.0,0.0018260916268328,0.0,0.181063122923588,0.0992647058823529,0.3081395348837209,0.0054421768707482,0.0034114019549957,0.3520765282314512,0.4111870196413321,0.3043725156161272,0.504390243902439,0.3111111111111111,0.0035494386091995,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0
0.1517352703793381,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.984029484029484,0.6,0.7170000000000001,0.764,0.868,0.79,0.89,0.3844086021505376,0.3179190751445087,0.0,1.0,0.0844155844155844,1.0,0.003220611916264,0.0030804198941292,0.8462000000000001,0.8546535465354654,0.8055789473684211,0.8604832424006236,0.0189670287783495,0.0002685428862989,0.1236096052738378,0.2163263677963107,0.1543755044899606,0.30425650205433,0.0027210884353741,0.0033457980712458,0.1794213719085394,0.2758326216908625,0.1873935264054514,0.3886178861788618,0.1666666666666666,0.0051189182663286,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.1844229217110573,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.9987714987714988,0.843,0.918,0.903,0.913,0.926,0.8690000000000001,0.3198924731182795,0.384393063583815,0.0139860139860139,0.996,0.0519480519480519,0.999,0.1157224418093983,0.1148428387714208,0.8231999999999999,0.9146166461664617,0.9324210526315788,0.8769485580670304,0.122875816993464,0.1305655513185455,0.1212785960513945,0.2109634551495016,0.2389705882352941,0.1889534883720929,0.0931972789115646,0.1308797480810864,0.1600559962669155,0.1024765157984628,0.1328790459965928,0.08130081300813,0.3277777777777778,0.094579258722685,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.576271186440678,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.948402948402948,0.8859999999999999,0.65,0.6759999999999999,0.688,0.595,0.779,0.3844086021505376,0.0578034682080924,0.0,0.7709999999999999,0.0,1.0,0.001610305958132,0.0017046983880132,0.7585999999999999,0.723349733497335,0.6396842105263157,0.7653936087295402,0.0189670287783495,0.0002685428862989,0.1236096052738378,0.2163263677963107,0.1543755044899606,0.30425650205433,0.0034013605442176,0.0024929475824968,0.299113392440504,0.3834329632792485,0.2407722884724588,0.5528455284552846,0.3333333333333333,0.0046118556078715,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0
0.6368038740920097,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.9778869778869778,0.023,0.425,0.358,0.374,0.099,0.3389999999999999,0.3735840377206601,0.338015366917101,0.0,0.429,0.0,0.982,0.0185795394332277,0.0001495349463169,0.7300889780631354,0.7644373982530622,0.7284183774041847,0.7717639939622851,0.0189670287783495,0.0001074171545195,0.1236096052738378,0.2163263677963107,0.1543755044899606,0.30425650205433,0.0245044009517929,0.0002624155349996,0.2390908081382333,0.2990643106925664,0.2642016052847556,0.3433343420845333,0.298135459217288,0.0003621876131836,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0
0.7066182405165456,1.0,1.0,1.0,1.0,1.0,1.0,0.375,0.7002457002457001,0.556,0.813,0.84,0.7959999999999999,0.6729999999999999,0.8420000000000001,0.3735840377206601,0.338015366917101,0.0,0.919,0.0779220779220779,1.0,0.0005855658029571,0.0007775817208481,0.5926,0.6581590815908159,0.4954736842105263,0.7844894777864382,0.0189670287783495,0.0004296686180783,0.1236096052738378,0.2163263677963107,0.1543755044899606,0.30425650205433,0.0245044009517929,0.000787246604999,0.2390908081382333,0.2990643106925664,0.2642016052847556,0.3433343420845333,0.3222222222222222,0.0011590003621876,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0
0.3506860371267151,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.9877149877149876,0.899,0.755,0.8220000000000001,0.8270000000000001,0.7020000000000001,0.741,0.4139784946236559,0.3901734104046243,0.0139860139860139,0.935,0.1038961038961039,1.0,0.0197994437124871,0.0217124742052217,0.7442,0.8001230012300122,0.7936842105263159,0.7835151987529229,0.0222222222222222,0.0167570761050539,0.1701660921341272,0.2757475083056477,0.2205882352941176,0.3662790697674417,0.0292517006802721,0.0226989437774716,0.2890807279514699,0.3872758326216908,0.3929585462805224,0.3827642276422764,0.2777777777777777,0.0235663406978148,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0
0.2062146892655367,1.0,1.0,1.0,0.0,1.0,1.0,0.875,0.9975429975429974,0.799,0.906,0.899,0.902,0.933,0.865,0.3064516129032258,0.3872832369942196,0.0419580419580419,1.0,0.0324675324675324,0.998,0.0223978919631093,0.0253013129168286,0.7226,0.8050430504305043,0.8027368421052632,0.7891660171473109,0.0156862745098039,0.021053762285837,0.0955813224694453,0.1627906976744185,0.119485294117647,0.2107558139534883,0.0340136054421768,0.0297185593387128,0.256882874475035,0.2792485055508112,0.2850653038046565,0.2608130081300813,0.2833333333333332,0.0300374260533623,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
