State,City/Town,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Quality of patient care star rating,How often the home health team began their patients care in a timely manner,How often the home health team determined whether patients received a flu shot for the current flu season,How often patients got better at walking or moving around,How often patients got better at getting in and out of bed,How often patients got better at bathing,How often patients breathing improved,How often patients got better at taking their drugs correctly by mouth,How often home health patients had to be admitted to the hospital,How often patients receiving home health care needed urgent unplanned care in the ER without being admitted,Changes in skin integrity post-acute care: pressure ulcer/injury,How often physician-recommended actions to address medication issues were completely timely,Percent of Residents Experiencing One or More Falls with Major Injury,Application of Percent of Long Term Care Hospital Patients with an Admission and Discharge Functional Assessment and a Care Plan that Addresses Function,DTC Numerator,DTC Denominator,DTC Observed Rate,DTC Risk-Standardized Rate,DTC Risk-Standardized Rate (Lower Limit),DTC Risk-Standardized Rate (Upper Limit),PPR Numerator,PPR Denominator,PPR Observed Rate,PPR Risk-Standardized Rate,PPR Risk-Standardized Rate (Lower Limit),PPR Risk-Standardized Rate (Upper Limit),PPH Numerator,PPH Denominator,PPH Observed Rate,PPH Risk-Standardized Rate,PPH Risk-Standardized Rate (Lower Limit),PPH Risk-Standardized Rate (Upper Limit),How much Medicare spends on an episode of care at this agency compared to Medicare spending across all agencies nationally,No. of episodes to calc how much Medicare spends per episode of care at agency compared to spending at all agencies (national),Type of Ownership_GOVERNMENT - COMBINATION GOVT & VOLUNTARY,Type of Ownership_GOVERNMENT - LOCAL,Type of Ownership_GOVERNMENT - STATE/COUNTY,Type of Ownership_PROPRIETARY,Type of Ownership_VOLUNTARY NON PROFIT - RELIGIOUS AFFILIATION,Type of Ownership_VOLUNTARY NON-PROFIT - OTHER,Type of Ownership_VOLUNTARY NON-PROFIT - PRIVATE,PPH Performance Categorization_Better Than National Rate,PPH Performance Categorization_Not Available,PPH Performance Categorization_Same As National Rate,PPH Performance Categorization_Worse Than National Rate,Predicted Values
0.1129943502824858,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.904176904176904,0.62,0.534,0.607,0.616,0.674,0.499,0.2849462365591397,0.6069364161849711,0.0,0.708,0.1493506493506493,0.977,0.0037695798565363,0.0043365134431916,0.7055,0.6936244362443624,0.6473684210526316,0.7148285268901013,0.0189670287783495,0.0004296686180783,0.1236096052738378,0.2163263677963107,0.1543755044899606,0.30425650205433,0.0006802721088435,0.0030177786524962,0.0496966868875408,0.2241673783091374,0.0959681998864281,0.3752845528455284,0.2499999999999999,0.0078232524447663,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.3288942695722356,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.97,0.92,0.898,0.913,0.967,0.903,0.4005376344086021,0.4017341040462427,0.0,1.0,0.1168831168831168,1.0,0.0150783194261455,0.0153721924813828,0.8,0.8506560065600657,0.8453684210526317,0.8337879968823071,0.0065359477124183,0.0153069445190396,0.0548417424005014,0.1162790697674418,0.0680147058823529,0.196220930232558,0.0095238095238095,0.0160073476349799,0.1332244517032197,0.1438941076003415,0.1164111300397501,0.168780487804878,0.3166666666666666,0.0193408185440057,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0
0.3551251008878127,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.9963144963144962,0.64,0.813,0.813,0.804,0.8240000000000001,0.7240000000000001,0.4005376344086021,0.3641618497109826,0.0139860139860139,0.8759999999999999,0.0194805194805194,0.999,0.0628751280925194,0.0608906301402637,0.8434,0.8870438704387044,0.9001052631578947,0.8516173031956353,0.1019607843137254,0.0612814866534185,0.2140394860545283,0.5182724252491694,0.5091911764705883,0.5145348837209301,0.0353741496598639,0.0640293905399199,0.1241250583294447,0.1114432109308283,0.1124361158432709,0.1086178861788617,0.2833333333333332,0.0577568513823493,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0
0.3991121872477804,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.9889434889434888,0.7829999999999999,0.902,0.893,0.916,0.8809999999999999,0.892,0.4301075268817204,0.3439306358381503,0.0139860139860139,0.982,0.0584415584415584,0.998,0.0247401551749377,0.0269162903370517,0.7503,0.8101681016810168,0.8077894736842106,0.7904325798908809,0.0222222222222222,0.0226113110263709,0.1262926982137261,0.2043189368770763,0.1580882352941176,0.2630813953488371,0.0408163265306122,0.0299153709899626,0.3063462435837611,0.3646456020495302,0.3742191936399773,0.3421138211382113,0.3888888888888888,0.0340456356392611,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
0.1904761904761904,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.785,0.934,0.916,0.929,0.8809999999999999,0.887,0.4166666666666666,0.3699421965317919,0.0209790209790209,0.986,0.0649350649350649,0.996,0.0428926950666081,0.0489577414241708,0.7155,0.7761377613776138,0.7781052631578947,0.7513639906469213,0.0222222222222222,0.0336215693646275,0.0849263553744907,0.1262458471760797,0.1121323529411764,0.1729651162790696,0.0673469387755102,0.058387456537427,0.2592160522631824,0.2754056362083689,0.3242475865985236,0.240650406504065,0.3388888888888889,0.075021127610769,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
0.4717514124293785,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.885,0.924,0.903,0.925,0.916,0.895,0.3978494623655914,0.3641618497109826,0.0,0.998,0.0324675324675324,0.999,0.0419777484994876,0.0446810419595059,0.7672,0.8447109471094711,0.8509473684210527,0.8170303975058457,0.0392156862745098,0.045168913475482,0.1115637731118771,0.1694352159468438,0.1636029411764705,0.1744186046511628,0.0605442176870748,0.0517614642786853,0.2629491367242184,0.2690008539709649,0.3100511073253833,0.2426016260162601,0.3166666666666666,0.0547869129542436,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0
0.5266343825665859,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.8353808353808353,0.884,0.924,0.887,0.971,0.956,0.924,0.3198924731182795,0.4190751445086705,0.0139860139860139,0.985,0.0909090909090909,0.995,0.0110525545308154,0.0132787032329455,0.6787000000000001,0.7714227142271423,0.751684210526316,0.7695830085736556,0.0039215686274509,0.0078951608571888,0.0636164211845816,0.1561461794019933,0.0772058823529412,0.2674418604651162,0.0231292517006802,0.0164665748212294,0.3147456836210919,0.338599487617421,0.3316297558205565,0.3388617886178862,0.3055555555555555,0.017433297114572,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0
0.4168684422921711,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.984029484029484,0.846,0.768,0.856,0.8009999999999999,0.841,0.596,0.3709677419354839,0.1473988439306358,0.0349650349650349,0.981,0.0,0.968,0.0076123554384423,0.0084038639830128,0.7376,0.810680606806068,0.7777894736842106,0.815763834762276,0.0183006535947712,0.0061227778076158,0.3813851457223441,0.4468438538205979,0.3547794117647058,0.5813953488372092,0.0074829931972789,0.0091189398412386,0.1833877741483901,0.2305721605465414,0.1635434412265758,0.2855284552845529,0.3777777777777778,0.0073644814680671,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0
0.1251008878127522,1.0,1.0,1.0,0.0,0.0,1.0,0.25,0.9434889434889436,0.6629999999999999,0.757,0.595,0.7190000000000001,0.635,0.598,0.3387096774193548,0.4393063583815028,0.0559440559440559,0.97,0.0844155844155844,0.995,0.0128824476650563,0.0171666118371863,0.6122,0.6517015170151703,0.633578947368421,0.6541309431021044,0.0078431372549019,0.0158977388688973,0.0633030397994359,0.1046511627906977,0.0606617647058823,0.1729651162790696,0.0183673469387755,0.0180410680312274,0.2281847876808212,0.2894961571306575,0.2668938103350369,0.3229268292682927,0.3333333333333333,0.0177954847277556,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.3728813559322034,1.0,1.0,0.0,0.0,0.0,1.0,0.75,0.9434889434889436,0.6609999999999999,0.922,0.866,0.91,0.941,0.898,0.325268817204301,0.0953757225433526,0.0139860139860139,0.26,0.0,1.0,0.0069901917728004,0.0069085145198432,0.8233,0.8498359983599837,0.826842105263158,0.8446024941543258,0.0039215686274509,0.0011278801224555,0.4274522093387653,0.2558139534883721,0.1599264705882352,0.3531976744186045,0.0068027210884353,0.0082004854687397,0.185254316378908,0.266865926558497,0.2106757524134014,0.3343089430894309,0.2499999999999999,0.0122177954847277,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
